No,Nama tempat,kabupaten kota,kategori,latitude,longitude,Fasilitas,rating,Foto
377,Air Terjun Curup Jepun,Way Kanan,wisata alam,-4.59057177,104.4480917,"Parkir, Toilet, Restoran",4.3,
378,Curup Penyandingan,Way Kanan,wisata alam,-4.59071345,104.4480551,"Parkir, Toilet, Restoran",3.7,
379,Curup Pinang Indah,Way Kanan,wisata alam,-4.65050641,104.3709161,"Parkir, Toilet, Restoran",4.5,
380,Green Canyon kukop,Way Kanan,wisata alam,-4.89578992,104.5073134,"Parkir, Toilet, Restoran",4.1,
381,Kampung Wisata Gedung Batin,Way Kanan,wisata budaya,-4.61816936,104.5822987,"Parkir, Toilet, Restoran",4.2,
382,Bukit Punggur,Way Kanan,wisata alam,-4.80326424, 104.3721218,"Parkir, Toilet, Restoran",4.6,
383,Puncak Sari Wangi,Way Kanan,wisata alam,-4.83731407,104.4244885,"Parkir, Toilet, Restoran",5,
384,Giescho waterbyur baradatu,Way Kanan,wisata buatan,-4.71967609,104.5562816,"Parkir, Toilet, Restoran",4.4,
385,KOLAM RENANG WATER FALL SETIA NEGARA,Way Kanan,wisata buatan,-4.71458630,104.5543413,"Parkir, Toilet, Restoran",5,
386,WaterPark RIZKY,Way Kanan,wisata buatan,-4.74856592,104.5407860,"Parkir, Toilet, Restoran",3.9,
387,ZOWTAA GARDEN,Way Kanan,wisata buatan,-4.42959751,104.7503105,"Parkir, Toilet, Restoran",4.4,
388,Air Terjun Batu Putu,Bandar Lampung,wisata alam,-5.42706444,105.2182565,"Parkir, Toilet, Restoran",4.1,
389,Bukit Sakura Kemiling,Bandar Lampung,wisata buatan,-5.40352923,105.2223840,"Parkir, Toilet, Restoran",4.3,
390,CAMP 91 Kedaung Outbound,Bandar Lampung,wisata buatan,-5.41108475,105.2109723,"Parkir, Toilet, Mushola, Restoran",4.3,
391,Camp Restu Bumi,Bandar Lampung,wisata buatan,-5.43538102,105.1900526,"Parkir, Toilet, Mushola, Restoran",4.8,
392,Farm Day,Bandar Lampung,wisata buatan,-5.42141597,105.1927024,"Parkir, Toilet, Mushola, Restoran",4.2,
393,Jukung Vietnam Resto,Bandar Lampung,wisata buatan,-5.41527835,105.1938440,"Parkir, Toilet, Mushola, Restoran",4.8,
394,Kampoeng Vietnam,Bandar Lampung,wisata buatan,-5.41550341,105.1933722,"Parkir, Toilet, Mushola, Restoran",4.5,
395,Kedatun Keagungan,Bandar Lampung,wisata budaya,-5.37146807,105.2675343,"Parkir, Toilet, Mushola, Restoran",4.6,
396,Lembah BKP,Bandar Lampung,wisata buatan,-5.37816302,105.2084989,"Parkir, Toilet, Mushola, Restoran",4.4,
397,Lembah Durian Farm Stable,Bandar Lampung,wisata alam,-5.41933949,105.1970867,"Parkir, Toilet, Mushola, Restoran",3.8,
398,Lengkung Langit 2,Bandar Lampung,wisata alam,-5.41558082,105.1859164,"Parkir, Toilet, Mushola, Restoran",4.5,
399,Menza Tirta,Bandar Lampung,wisata buatan,-5.36703304,105.2641954,"Parkir, Toilet, Mushola, Restoran",4.5,
400,Museum Lampung Rua Jurai,Bandar Lampung,wisata budaya,-5.37202640,105.2409070,"Parkir, Toilet, Mushola, Restoran",4.5,
401,Pantai Puri Gading,Bandar Lampung,wisata alam,-5.47059346, 105.2498903,"Parkir, Toilet, Mushola, Restoran",3.7,
402,Pantai Tirtayasa,Bandar Lampung,wisata alam,-5.48194004,105.2524696,"Parkir, Toilet, Mushola, Restoran",3.9,
403,Pasar Kreatif dan Seni Lampung,Bandar Lampung,wisata buatan,-5.37983160,105.2778045,"Parkir, Toilet, Mushola, Restoran",4.7,
404,Fishing Natural Charm,Bandar Lampung,wisata buatan,-5.37055652,105.2559881,"Parkir, Toilet, Mushola, Restoran",4.4,
405,Wildlife Tourism Swimming Pool Fountains Cibiah,Bandar Lampung,wisata buatan,-5.43569638,105.2107688,"Parkir, Toilet, Mushola, Restoran",4.2,
406,Pintu Langit 2,Bandar Lampung,wisata buatan,-5.46856777,105.2420517,"Parkir, Toilet, Mushola, Restoran",4.4,
407,Pulau Pasaran,Bandar Lampung,wisata alam,-5.46318391,105.2650858,"Parkir, Toilet, Mushola, Restoran",4.5,
408,Puncak Mas ,Bandar Lampung,wisata buatan,-5.42017997,105.2284532,"Parkir, Toilet, Mushola, Restoran",4.4,
409,Puncak Nirwana Lampung,Bandar Lampung,wisata buatan,-5.44327648, 105.2150920,"Parkir, Toilet, Mushola, Restoran",4.8,
410,Rainbow Slide Kemiling,Bandar Lampung,wisata buatan,-5.41351809,105.1961498,"Parkir, Toilet, Mushola, Restoran",4.5,
411,Sky Garden Cafe and Resto,Bandar Lampung,wisata buatan,-5.39799973,105.2237033,"Parkir, Toilet, Mushola, Restoran",4.2,
412,Taman Betung,Bandar Lampung,wisata buatan,-5.42109000,105.1880190,"Parkir, Toilet, Mushola, Restoran",4.7,
413,Taman Kupu-kupu Gita Persada,Bandar Lampung,wisata buatan,-5.42072836,105.1885693,"Parkir, Toilet, Mushola, Restoran",4.2,
414,Pantai Duta Wisata,Bandar Lampung,wisata buatan,-5.47663436,105.2525760,"Parkir, Toilet, Mushola, Restoran",3.8,
415,Taman Wisata Agripark,Bandar Lampung,wisata buatan,-5.38996571,105.2167350,"Parkir, Toilet, Mushola, Restoran",5,
416,KULINER DUTA GS,Bandar Lampung,wisata buatan,-5.39977213,105.2235621,"Parkir, Toilet, Mushola, Restoran",4.7,
417,Taman Wisata Alam & Cottage Wira Garden,Bandar Lampung,wisata buatan,-5.43605277, 105.2295422,"Parkir, Toilet, Mushola, Restoran",4.5,
418,Lembah Hijau,Bandar Lampung,wisata buatan,-5.41534854,105.2305766,"Parkir, Toilet, Mushola, Restoran",4.3,
419,Teropong Kota Bukit Sindy,Bandar Lampung,wisata buatan,-5.40427863,105.2533784,"Parkir, Toilet, Mushola, Restoran",4.2,
420,Umbul Helau Lampung,Bandar Lampung,wisata buatan,-5.42154706,105.1929297,"Parkir, Toilet, Mushola, Restoran",4.6,
421,Thay Hin Bio Temple,Bandar Lampung,wisata religi,-5.44850297, 105.2631043,"Parkir, Toilet, Restoran",4.8,
422,Wisata Bendungan Sumur Putri,Bandar Lampung,wisata buatan,-5.43823204,105.2458829,"Parkir, Toilet, Mushola, Restoran",4.4,
423,Museum Mini Santa Maria,Metro,wisata budaya,-5.11256177,105.3091119,"Parkir, Toilet, Mushola, Restoran",4.9,
424,DEWI AMOR 21,Metro,wisata buatan,-5.09778482,105.3262927,"Parkir, Toilet, Mushola, Restoran",4.7,
425,Dokterswoning - Rumah Informasi Sejarah Metro,Metro,wisata budaya,-5.11601332,105.3093897,"Parkir, Toilet, Mushola, Restoran",4.7,
426,Kolam Renang Stadion Tejosari,Metro,wisata buatan,-5.14841691,105.3328497,"Parkir, Toilet, Mushola, Restoran",3.8,
427,LEMBAH LONDON,Metro,wisata buatan,-5.14930827,105.3288375,"Parkir, Toilet, Mushola, Restoran",4.5,
428,Masjid Agung Taqwa Kota Metro,Metro,wisata religi,-5.11455162,105.3069136,"Parkir, Toilet, Mushola, Restoran",4.8,
429,Metro Kids Funnplay,Metro,wisata buatan,-5.11402001,105.2991736,"Parkir, Toilet, Mushola, Restoran",4.9,
430,Palem Indah,Metro,wisata buatan,-5.12534580,105.2868399,"Parkir, Toilet, Mushola, Restoran",4.2,
431,Pasar Jamur Sawah,Metro,wisata buatan,-5.14454583, 105.2925161,"Parkir, Toilet, Mushola, Restoran",4.3,
432,Pasar SeGer,Metro,wisata buatan,-5.11479304,105.3189525,"Parkir, Toilet, Mushola, Restoran",4.5,
433,SAMBER PARK,Metro,wisata buatan,-5.11678226,105.3048255,"Parkir, Toilet, Mushola, Restoran",4.3,
434,Taman Wisata Bunga Asri Bougenvilel Resort,Metro,wisata buatan,-5.14593327,105.3273848,"Parkir, Toilet, Mushola, Restoran",3.8,
435,Taman Edukasi Metro,Metro,wisata buatan,-5.11582602,105.3209958,"Parkir, Toilet, Mushola, Restoran",4.5,
436,Taman Merdeka,Metro,wisata buatan,-5.11451617,105.3081651,"Parkir, Toilet, Mushola, Restoran",4.5,
437,WATER BOOM METRO GARDEN,Metro,wisata buatan,-5.10587403,105.3065303,"Parkir, Toilet, Mushola, Restoran",4.6,
438,Wisata Alam Capit Urang,Metro,wisata alam,-5.05690507,105.3135010,"Parkir, Toilet, Mushola, Restoran",4.2,
439,Wisata Alam Alas Purii,Metro,wisata alam,-5.17397796,105.3010435,"Parkir, Toilet, Mushola, Restoran",4,
